,run,name,index,arxiv,dclm:adult_content,dclm:art_and_design,dclm:crime_and_law,dclm:education_and_jobs,dclm:electronics_and_hardware,dclm:entertainment,dclm:fashion_and_beauty,dclm:finance_and_business,dclm:food_and_dining,dclm:games,dclm:health,dclm:history_and_geography,dclm:home_and_hobbies,dclm:industrial,dclm:literature,dclm:politics,dclm:religion,dclm:science_math_and_technology,dclm:social_life,dclm:software,dclm:software_development,dclm:sports_and_fitness,dclm:transportation,dclm:travel_and_tourism,finemath-3plus,pes2o,s2pdf:adult,s2pdf:art_design,s2pdf:crime_law,s2pdf:education_jobs,s2pdf:entertainment,s2pdf:fashion_beauty,s2pdf:finance_business,s2pdf:food_dining,s2pdf:games,s2pdf:health,s2pdf:home_hobbies,s2pdf:industrial,s2pdf:literature,s2pdf:politics,s2pdf:religion,s2pdf:science_tech,s2pdf:software,s2pdf:software_dev,s2pdf:sports_fitness,s2pdf:transportation,s2pdf:travel,stack-edu:C,stack-edu:CSharp,stack-edu:Cpp,stack-edu:Go,stack-edu:Java,stack-edu:JavaScript,stack-edu:Markdown,stack-edu:PHP,stack-edu:Python,stack-edu:Ruby,stack-edu:Rust,stack-edu:SQL,stack-edu:Shell,stack-edu:Swift,stack-edu:TypeScript,wikipedia
0,hz0dfydj,5xC-30m-superswarm-ee28fc9c-0000,0,0.003012935820341258,0.0,0.0,0.0,0.15210663524475657,0.0,0.0,0.0,0.04617753030578086,0.0,0.0,0.06015667353049982,0.0,0.0,0.0,0.04537862078474942,0.0,0.040283419314755695,0.1376012133204566,0.048461594023432,0.0,0.0,0.0,0.0,0.0,0.000722275099216781,0.007869405190173352,0.0,0.0,0.014874093027811596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05759234238892818,0.0,0.0,0.0,0.1573451367100609,0.0,0.0,0.0,0.0,0.0,0.0,0.016076569081616407,0.0,0.0,0.017155367979908468,0.0,0.1571712011356819,0.0,0.01666667623319415,0.0,0.0,0.0,0.0202451124741696,0.0,0.0,0.001103198334466453
1,pj0hxxl7,5xC-30m-superswarm-ee28fc9c-0001,1,0.0009487917254270964,0.0,0.0,0.0,0.0,0.0,0.2972712118031299,0.0,0.0,0.0,0.0,0.029332630383450586,0.0,0.0,0.0,0.07271181508051328,0.0,0.0,0.04160925700937752,0.0,0.0,0.0,0.0,0.02999442792251493,0.0,0.2836755131759191,0.0012003562175542269,0.0,0.0,0.027468935048368445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0834801937249256,0.0,0.0940153739218269,0.0,0.0,0.0,0.0,0.0,0.0022637624459109404,0.0,0.012167358206252858,0.0,0.0046053108444500555,0.0,0.0,0.0,0.0,0.0,0.005096052015176025,0.013384922947374906,0.0,0.0007740875278276661
2,sqleanmq,5xC-30m-superswarm-ee28fc9c-0002,2,0.004312982248428739,0.0,0.0,0.0,0.0,0.0,0.1325615217069645,0.0,0.0438078137509159,0.0,0.0,0.48914339652147504,0.0,0.0,0.0,0.0,0.10520922287764688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002114873264094753,0.09482196444397628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019886704146098288,0.0,0.0,0.0,0.0,0.0,0.04359557631429985,0.0,0.0,0.0,0.0,0.0,0.003953464271890263,0.0,0.0,0.0,0.0,0.0,0.011139409133139336,0.0,0.0,0.0,0.0,0.0,0.0,0.004453860280151413,0.0,0.04690259697860408
3,yha6btnh,5xC-30m-superswarm-ee28fc9c-0003,3,0.007925798205474519,0.0,0.0,0.3580727428502996,0.17734189839669257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10852358921675172,0.0,0.0,0.0,0.0,0.10487876142392774,0.0,0.0,0.1265994528650304,0.0,0.016395311035265484,0.002792500287338181,0.0,0.0,0.0,0.0,0.0,0.0,0.0031487719227317633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04540564032918238,0.0,0.01187028189780196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013282001912752738,0.011358710806187049,0.0,0.0,0.0,0.0,0.0,0.0,0.005653538449737688,0.0,0.0,0.0067510004008263375
4,8akj422x,5xC-30m-superswarm-ee28fc9c-0004,4,0.004939589051770765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05553011473263036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259716961506283,0.2321362869947626,0.0,0.0,0.0,0.0,0.0,0.03652636683912858,0.030982864782471965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01956781453782151,0.0,0.08306458520749989,0.0,0.0,0.0,0.0,0.0,0.12221906256729156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03785169617559366,0.0,0.045965111293028896,0.0,0.0,0.0,0.0,0.05324586051068522,0.0,0.0,0.017461740901671016,0.0007919448993610487
5,kolxxu5o,5xC-30m-superswarm-ee28fc9c-0005,5,0.0008145803667895144,0.0,0.0,0.0,0.04085945311471362,0.0,0.15261406382558323,0.0,0.0,0.19562288243304105,0.0,0.0,0.0,0.0,0.0,0.07225129514695568,0.040823042367653634,0.11213292599565554,0.0,0.0,0.0,0.0,0.0,0.03629839561576441,0.0,0.0017202018111612662,0.0138719156494606,0.0,0.0,0.0,0.11150842162280832,0.0,0.0,0.0,0.0,0.0,0.03347270640092564,0.0,0.020726873079744117,0.0,0.0,0.0,0.1169914427209237,0.04546938085837874,0.0,0.0,0.0,0.0,0.0,7.271260919334027e-05,0.0,0.0,6.760717708401833e-05,0.0,8.777926468012916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00459431993948356
6,ecajl56y,5xC-30m-superswarm-ee28fc9c-0006,6,0.014735481153381098,0.0,0.0,0.0,0.0,0.0,0.05718342183777535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06497078507330788,0.055180581297747486,0.0,0.33029293237911866,0.0,0.0,0.0,0.0,0.17828153757783943,0.0,0.01938309779002293,0.019158404906277043,0.0,0.0,0.0,0.01064014594657772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03066974015041524,0.0,0.14388633516808724,0.0,0.0,0.0,0.0,0.0,0.0,0.02276542428614797,0.0,0.0,0.007680425334482102,0.0,0.0028485085662469907,0.0,0.0147776380906836,0.0,0.0,0.0,0.0,0.0,0.0,0.027545540441889123
7,adkd9u6f,5xC-30m-superswarm-ee28fc9c-0007,7,0.02700313334766853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04663003605544317,0.2218824164364017,0.0,0.136830586898241,0.0,0.0,0.0,0.0,0.2269935116448361,0.0,0.041921303451635805,0.0,0.04855940671690504,0.0,0.0,0.0,0.0,0.06191885732185179,0.0016085032326476063,0.0,0.0,0.008125087210146575,0.006425669365461668,0.0,0.0,0.0,0.0,0.0,0.019208453889271348,0.0,0.0,0.0,0.028428761908318292,0.0,0.04996178448629847,0.007446918963052806,0.0,0.0,0.0,0.0,0.0,0.02039863801654797,0.0,0.0,0.003712864316788748,0.0,0.006512511953957119,0.0,0.006720937011554783,0.0,0.0,0.0,0.019740211167924553,0.0,0.0,0.00997040660504689
8,phdg9nao,5xC-30m-superswarm-ee28fc9c-0008,8,0.0033071524184852285,0.0,0.0,0.0,0.0,0.0,0.06167665879205947,0.0,0.10552478292225104,0.25357232064682866,0.0,0.0,0.0920651638728865,0.0,0.0,0.06047112127444972,0.06434374280134328,0.08027514401069552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196524724475406,0.030880697423399793,0.0,0.0,0.0,0.03974317546776323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016080703182001686,0.0,0.01807436758289533,0.018621585524348217,0.08057032564644954,0.0,0.0,0.0,0.03844989061206144,0.0,0.0,0.0013237164620387694,0.0,0.0,0.0020406127467792186,0.0,0.012410324978799958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000916041186922854
9,ypynjh0o,5xC-30m-superswarm-ee28fc9c-0009,9,0.1289583892233835,0.0,0.0,0.0,0.037371861151430465,0.0,0.0,0.0,0.0,0.06720606059748864,0.07409883271187831,0.0,0.0,0.033037381870159734,0.0,0.0,0.023778378975394716,0.0,0.08862089834613282,0.0,0.0,0.1141175670119156,0.0,0.0,0.0,0.000525883160789778,0.0037014737932787806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04061299916163379,0.03787798754735444,0.0,0.30090472613041414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01463501723559113,0.0,0.01817009029548521,0.0,0.0,0.0,0.0,0.0,0.010821297538471216,0.0,0.0,0.005561155249197882
